"vehicleId","time","assignmentId","assignmentType","heading","latitude","longitude"
8087,"2016-04-21 19:39:11","SE-18","BLOCK_ID",311,38.95164,-77.38361
8087,"2016-04-21 19:39:22","SE-18","BLOCK_ID",270,38.95168,-77.38405
8087,"2016-04-21 19:39:52","SE-18","BLOCK_ID",58,38.95206,-77.38498
8087,"2016-04-21 19:40:22","SE-18","BLOCK_ID",119,38.95202,-77.38248
8087,"2016-04-21 19:40:52","SE-18","BLOCK_ID",297,38.95165,-77.38313
8087,"2016-04-21 19:41:17","SE-18","BLOCK_ID",297,38.95165,-77.38313
8087,"2016-04-21 19:41:28","SE-18","BLOCK_ID",297,38.95165,-77.38313
8087,"2016-04-21 19:41:58","SE-18","BLOCK_ID",286,38.95167,-77.38377
8087,"2016-04-21 19:42:31","SE-18","BLOCK_ID",19,38.95199,-77.38508
8087,"2016-04-21 19:43:01","SE-18","BLOCK_ID",89,38.95207,-77.38261
8087,"2016-04-21 19:44:01","SE-18","BLOCK_ID",271,38.95328,-77.38485
8087,"2016-04-21 19:44:31","SE-18","BLOCK_ID",281,38.95388,-77.39098
8087,"2016-04-21 19:45:01","SE-18","BLOCK_ID",288,38.95527,-77.39915
8087,"2016-04-21 19:45:32","SE-18","BLOCK_ID",294,38.95801,-77.4072
8087,"2016-04-21 19:46:02","SE-18","BLOCK_ID",294,38.96075,-77.41491
8087,"2016-04-21 19:46:32","SE-18","BLOCK_ID",279,38.96249,-77.42146
8087,"2016-04-21 19:47:06","SE-18","BLOCK_ID",270,38.96268,-77.42932
8087,"2016-04-21 19:47:36","SE-18","BLOCK_ID",269,38.96264,-77.43716
8087,"2016-04-21 19:48:09","SE-18","BLOCK_ID",211,38.96064,-77.44427
8087,"2016-04-21 19:48:21","SE-18","BLOCK_ID",192,38.95903,-77.44492
8087,"2016-04-21 19:48:52","SE-18","BLOCK_ID",268,38.95815,-77.44798
8087,"2016-04-21 19:49:20","SE-18","BLOCK_ID",267,38.95819,-77.45024
8087,"2016-04-21 19:49:50","SE-18","BLOCK_ID",180,38.95687,-77.45319
8087,"2016-04-21 19:50:20","SE-18","BLOCK_ID",180,38.9539,-77.4532
8087,"2016-04-21 19:50:51","SE-18","BLOCK_ID",92,38.95365,-77.45158
8087,"2016-04-21 19:51:22","SE-18","BLOCK_ID",91,38.95359,-77.4492
8087,"2016-04-21 19:51:52","SE-18","BLOCK_ID",92,38.95359,-77.44902
8087,"2016-04-21 19:52:02","SE-18","BLOCK_ID",90,38.95358,-77.44858
8087,"2016-04-21 19:52:32","SE-18","BLOCK_ID",92,38.95354,-77.44754
