
03:44:30.603 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:240] Started module org.transitime.avl.GtfsRealtimeModule for agencyId=02

03:44:30.604 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:176] Getting data from feed using url=http://realtime.prod.obahart.org:8088/vehicle-positions

03:44:32.771 INFO  thread=GtfsRealtimeModule-1 [o.t.a.AvlExecutor:106] Starting AvlExecutor for directly handling AVL reports via a queue instead of JMS. maxAVLQueueSize=2000 and numberThreads=1

03:44:32.977 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1501, time=06-27-2016 11:44:32.761 BST, location=[27.95286, -82.45830], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=147592, assignmentType=TRIP_ID]

03:44:32.980 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1514, time=06-27-2016 11:44:32.761 BST, location=[27.92432, -82.50600], speed=24.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=147593, assignmentType=TRIP_ID]

03:44:32.982 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2901, time=06-27-2016 11:44:32.761 BST, location=[27.90721, -82.50601], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=147661, assignmentType=TRIP_ID]

03:44:32.984 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2322, time=06-27-2016 11:44:32.761 BST, location=[27.94722, -82.45623], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=147665, assignmentType=TRIP_ID]

03:44:32.987 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2508, time=06-27-2016 11:44:32.761 BST, location=[28.17827, -82.46814], speed=26.0m/s, heading=120.0 deg, source=GTFS-rt, assignmentId=147674, assignmentType=TRIP_ID]

03:44:32.990 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1308, time=06-27-2016 11:44:32.761 BST, location=[27.94913, -82.45658], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=147675, assignmentType=TRIP_ID]

03:44:32.993 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2221, time=06-27-2016 11:44:32.761 BST, location=[28.06912, -82.42641], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=147682, assignmentType=TRIP_ID]

03:44:32.995 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2301, time=06-27-2016 11:44:32.761 BST, location=[27.96620, -82.40591], speed=29.0m/s, heading=240.0 deg, source=GTFS-rt, assignmentId=147683, assignmentType=TRIP_ID]

03:44:33.005 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1008, time=06-27-2016 11:44:32.762 BST, location=[27.93729, -82.31047], speed=26.0m/s, heading=165.0 deg, source=GTFS-rt, assignmentId=147689, assignmentType=TRIP_ID]

03:44:33.007 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=2418, time=06-27-2016 11:44:32.762 BST, location=[27.95027, -82.38834], speed=63.0m/s, heading=255.0 deg, source=GTFS-rt, assignmentId=147695, assignmentType=TRIP_ID] because Speed of 63.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.007 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=1521, time=06-27-2016 11:44:32.762 BST, location=[27.94302, -82.46127], speed=51.0m/s, heading=255.0 deg, source=GTFS-rt, assignmentId=147698, assignmentType=TRIP_ID] because Speed of 51.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.008 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1001, time=06-27-2016 11:44:32.762 BST, location=[27.86411, -82.50256], speed=21.0m/s, heading=90.0 deg, source=GTFS-rt, assignmentId=147699, assignmentType=TRIP_ID]

03:44:33.010 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1014, time=06-27-2016 11:44:32.762 BST, location=[27.85303, -82.49226], speed=18.0m/s, heading=210.0 deg, source=GTFS-rt, assignmentId=147700, assignmentType=TRIP_ID]

03:44:33.013 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2914, time=06-27-2016 11:44:32.762 BST, location=[27.86737, -82.50663], speed=4.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=147711, assignmentType=TRIP_ID]

03:44:33.015 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1307, time=06-27-2016 11:44:32.762 BST, location=[27.85264, -82.49239], speed=5.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=147712, assignmentType=TRIP_ID]

03:44:33.019 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1002, time=06-27-2016 11:44:32.762 BST, location=[27.86044, -82.49010], speed=23.0m/s, heading=90.0 deg, source=GTFS-rt, assignmentId=147713, assignmentType=TRIP_ID]

03:44:33.022 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=2601, time=06-27-2016 11:44:32.762 BST, location=[27.95331, -82.44933], speed=50.0m/s, heading=225.0 deg, source=GTFS-rt, assignmentId=147714, assignmentType=TRIP_ID] because Speed of 50.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.023 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2321, time=06-27-2016 11:44:32.762 BST, location=[27.85415, -82.21326], speed=12.0m/s, heading=15.0 deg, source=GTFS-rt, assignmentId=147727, assignmentType=TRIP_ID]

03:44:33.026 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=2918, time=06-27-2016 11:44:32.762 BST, location=[27.89376, -82.24916], speed=35.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=147728, assignmentType=TRIP_ID] because Speed of 35.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.026 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=2224, time=06-27-2016 11:44:32.763 BST, location=[27.92978, -82.34674], speed=69.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=147729, assignmentType=TRIP_ID] because Speed of 69.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.026 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=2920, time=06-27-2016 11:44:32.763 BST, location=[28.02384, -82.24110], speed=53.0m/s, heading=255.0 deg, source=GTFS-rt, assignmentId=147734, assignmentType=TRIP_ID] because Speed of 53.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.026 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2511, time=06-27-2016 11:44:32.763 BST, location=[28.00369, -82.56274], speed=5.0m/s, heading=165.0 deg, source=GTFS-rt, assignmentId=148073, assignmentType=TRIP_ID]

03:44:33.028 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2106, time=06-27-2016 11:44:32.763 BST, location=[27.94515, -82.52433], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=148074, assignmentType=TRIP_ID]

03:44:33.030 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2905, time=06-27-2016 11:44:32.763 BST, location=[27.95567, -82.45885], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=148112, assignmentType=TRIP_ID]

03:44:33.032 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2326, time=06-27-2016 11:44:32.763 BST, location=[27.94758, -82.45826], speed=12.0m/s, heading=240.0 deg, source=GTFS-rt, assignmentId=148113, assignmentType=TRIP_ID]

03:44:33.035 ERROR thread=avlClient-1 [o.t.a.AvlClient:85] Throwing away avlReport AvlReport [vehicleId=1311, time=06-27-2016 11:44:32.763 BST, location=[27.96388, -82.54629], speed=45.0m/s, heading=360.0 deg, source=GTFS-rt, assignmentId=148114, assignmentType=TRIP_ID] because Speed of 45.0m/s is greater than maximum allowable speed of 31.3m/s. 

03:44:33.035 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1009, time=06-27-2016 11:44:32.763 BST, location=[28.02797, -82.58435], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=148115, assignmentType=TRIP_ID]

